	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13182	fatty acid desaturase	330	20	0.0	99.64	2	P:GO:0006629; C:GO:0016021	P:lipid metabolic process; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13446	DctM-like transporters family protein	731	20	0.0	99.92	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13447	rhombosortase	188	20	6.64873E-121	98.94	3	F:GO:0004252; P:GO:0006508; C:GO:0016021	F:serine-type endopeptidase activity; P:proteolysis; C:integral component of membrane	EC:3.4.21	Acting on peptide bonds (peptidases)			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABS90302	Uncharacterised protein	33	19	5.45818E-14	90.11	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABS90303	membrane protein	129	20	3.0076E-62	99.35	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13450	acyl-CoA dehydrogenase	390	20	0.0	99.77	4	F:GO:0004085; F:GO:0004466; F:GO:0050660; P:GO:0055114	F:butyryl-CoA dehydrogenase activity; F:long-chain-acyl-CoA dehydrogenase activity; F:flavin adenine dinucleotide binding; P:oxidation-reduction process	EC:1.3.99.13; EC:1.3.99.3; EC:1.3.8.1	Acting on the CH-CH group of donors; Acting on the CH-CH group of donors; Short-chain acyl-CoA dehydrogenase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13458	preprotein translocase subunit SecY	450	20	0.0	99.97	6	C:GO:0005622; C:GO:0005886; P:GO:0006605; C:GO:0016021; P:GO:0043952; P:GO:0065002	C:intracellular; C:plasma membrane; P:protein targeting; C:integral component of membrane; P:protein transport by the Sec complex; P:intracellular protein transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13461	30S ribosomal protein S5	162	20	1.50631E-98	99.41	4	F:GO:0003735; P:GO:0006412; C:GO:0015935; F:GO:0019843	F:structural constituent of ribosome; P:translation; C:small ribosomal subunit; F:rRNA binding					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13473	50S ribosomal protein L22	109	20	1.45767E-62	99.68	4	F:GO:0003735; P:GO:0006412; C:GO:0015934; F:GO:0019843	F:structural constituent of ribosome; P:translation; C:large ribosomal subunit; F:rRNA binding					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13742	hydroxyisourate hydrolase	107	20	9.52486E-74	98.64	2	P:GO:0006144; F:GO:0033971	P:purine nucleobase metabolic process; F:hydroxyisourate hydrolase activity	EC:3.5.2.17	Hydroxyisourate hydrolase			
